idlineaest,X,Y
606,-58.51481432,-34.53631422
611,-58.6198349,-34.50411606
622,-58.87141243,-34.41643215
604,-58.47869776,-34.53784834
609,-58.54612889,-34.52390715
614,-58.68073973,-34.50348316
617,-58.72540793,-34.4853858
608,-58.53743362,-34.52885437
616,-58.70516601,-34.49424037
610,-58.56478955,-34.50897335
613,-58.66632498,-34.50314432
621,-58.79612769,-34.45399497
605,-58.50043124,-34.54357793
620,-58.77508075,-34.46303965
619,-58.75810604,-34.47080204
615,-58.69432085,-34.49908394
607,-58.52381135,-34.53179605
612,-58.64172771,-34.50273927
618,-58.73877771,-34.47946572
602,-58.39964175,-34.57598007
603,-58.43907217,-34.54784107
601,-58.37439845,-34.59016634
717,-58.53580093,-34.71099472
714,-58.64742264,-34.77196467
728,-58.42967458,-34.69834058
729,-58.4283429,-34.68105196
712,-58.59858339,-34.75547117
707,-58.50742722,-34.69012451
709,-58.50592138,-34.71017721
715,-58.51221756,-34.71024258
719,-58.58570405,-34.70459578
708,-58.51156616,-34.70297623
716,-58.52167893,-34.71242905
710,-58.53043366,-34.72213745
721,-58.64647293,-34.69721603
730,-58.4153697,-34.66092956
713,-58.61588366,-34.76023349
726,-58.46194923,-34.71840536
718,-58.55095291,-34.70915985
727,-58.44098608,-34.70548477
724,-58.50340076,-34.71187005
725,-58.48003244,-34.71790606
720,-58.62574387,-34.6998291
706,-58.49270122,-34.68423155
711,-58.58484474,-34.75151626
722,-58.68679584,-34.69222433
723,-58.73021427,-34.70848364
701,-58.38972789,-34.64374737
702,-58.41546852,-34.64924002
704,-58.44852992,-34.66539783
705,-58.47710548,-34.67724505
703,-58.44125919,-34.66230805
106,-58.47312227,-34.52420662
153,-58.86864019,-34.36983148
146,-58.57628479,-34.53500168
145,-58.56752099,-34.54200174
149,-58.67596647,-34.44786037
108,-58.48901816,-34.49718216
156,-58.60312898,-34.47963457
107,-58.48041931,-34.50818538
158,-58.68451188,-34.40932229
150,-58.73691208,-34.4215436
143,-58.54865568,-34.55701385
140,-58.51635297,-34.5811974
113,-58.54103453,-34.45646804
110,-58.50416907,-34.4797645
152,-58.82787311,-34.38419592
160,-58.79739145,-34.34865842
148,-58.64535036,-34.46311108
112,-58.52628812,-34.46114511
135,-58.49400381,-34.52303327
142,-58.54080918,-34.5633992
111,-58.51413894,-34.47150828
133,-58.49459776,-34.54282556
136,-58.48932723,-34.51509728
159,-58.73442759,-34.38387172
114,-58.55082297,-34.45053754
144,-58.55650711,-34.55078506
134,-58.49438467,-34.53048868
157,-58.62022361,-34.45580661
109,-58.49736558,-34.48772612
115,-58.55942337,-34.44378835
151,-58.77213921,-34.40657962
116,-58.56810996,-34.43694481
147,-58.57565118,-34.47274822
141,-58.53187466,-34.57341844
138,-58.48783489,-34.57427451
101,-58.37534822,-34.59112583
102,-58.43677526,-34.56224516
139,-58.50219093,-34.58028936
131,-58.47555475,-34.56505804
129,-58.44798377,-34.57298357
127,-58.42526341,-34.57200185
130,-58.46278849,-34.56758972
104,-58.46276502,-34.54867769
132,-58.48735238,-34.55385045
105,-58.46786927,-34.53701475
128,-58.43534159,-34.57558681
103,-58.44970586,-34.55834294
137,-58.47962069,-34.56826938
117,-58.58175467,-34.42350182
464,-58.5279274,-34.69322586
424,-58.3825697,-34.68562465
421,-57.96808869,-34.89101871
419,-58.01138606,-34.87948261
412,-58.20351631,-34.78995717
438,-58.44840711,-34.80325719
437,-58.42958861,-34.79710249
477,-58.21391639,-34.82485531
475,-58.72031534,-35.01882868
408,-58.25988664,-34.72585896
473,-58.67569086,-34.97811143
422,-57.95005768,-34.90394661
451,-58.38075616,-34.79198164
414,-58.17079019,-34.78214551
407,-58.2804706,-34.70937153
403,-58.34605408,-34.67876816
420,-57.9951429,-34.88104167
402,-58.37662185,-34.66210464
415,-58.15384187,-34.79200775
463,-58.50532359,-34.71034225
456,-58.25672706,-34.8109365
427,-58.39536629,-34.74301254
405,-58.31206822,-34.69737104
476,-58.75419358,-35.05924153
413,-58.21355363,-34.80801476
432,-58.38719555,-34.85958188
465,-58.55540466,-34.67393494
435,-58.37360585,-34.98152654
455,-58.27318532,-34.81082533
440,-58.49579841,-34.83304843
468,-58.54335868,-34.87009019
425,-58.39045025,-34.70721256
434,-58.38051333,-34.91796769
467,-58.59183884,-34.64504623
439,-58.46945263,-34.81403238
426,-58.39358066,-34.72686055
417,-58.0747908,-34.84986315
406,-58.29610005,-34.7034052
472,-58.6488708,-34.96243812
453,-58.33739189,-34.80146479
454,-58.30229299,-34.80898815
430,-58.39420914,-34.79790976
416,-58.09318846,-34.83770677
404,-58.3253872,-34.69146389
433,-58.3836124,-34.88936767
418,-58.04204103,-34.86571529
471,-58.62150056,-34.93697959
410,-58.20833559,-34.76420386
411,-58.19522743,-34.7752655
428,-58.39732665,-34.76106315
409,-58.23182009,-34.75303073
457,-58.23011953,-34.81959179
431,-58.39151098,-34.82394178
452,-58.35862732,-34.79681397
441,-58.52254041,-34.85386684
458,-58.40847778,-34.78603363
478,-58.18516162,-34.83420276
469,-58.56670023,-34.88868751
459,-58.43750566,-34.78010681
466,-58.57381058,-34.65750122
461,-58.46482602,-34.74394949
462,-58.47407941,-34.73420959
460,-58.44217837,-34.77401858
436,-58.40550661,-34.79479888
474,-58.69075647,-34.98650944
470,-58.59469413,-34.91040003
429,-58.39640088,-34.77722599
423,-58.37883995,-34.65366718
401,-58.38056603,-34.62822844
517,-58.79304364,-34.50553062
507,-58.52855667,-34.60327574
514,-58.70343586,-34.55120019
519,-58.88304369,-34.47660614
510,-58.59625492,-34.60503716
509,-58.56452942,-34.6046524
511,-58.63311683,-34.59075564
520,-58.90848783,-34.4687795
512,-58.65721853,-34.57815493
518,-58.83859305,-34.49077322
515,-58.71331312,-34.54416017
516,-58.75007918,-34.51908142
513,-58.68582975,-34.56321963
508,-58.54165537,-34.60378742
502,-58.42647061,-34.57832198
501,-58.37330498,-34.58864318
506,-58.51326076,-34.6026208
505,-58.49464098,-34.60130129
504,-58.46711974,-34.59692527
503,-58.44759901,-34.59288514
221,-58.95415358,-34.60872889
213,-58.66652277,-34.65966894
212,-58.64247424,-34.65219179
209,-58.56509399,-34.64066315
211,-58.61912537,-34.64821625
214,-58.69855091,-34.66550943
210,-58.59221649,-34.64499664
230,-58.75998306,-34.68001226
233,-58.83639374,-34.78263106
216,-58.76208946,-34.65836021
217,-58.78947536,-34.65077732
234,-58.88821585,-34.85580683
215,-58.727723,-34.66453759
208,-58.54214582,-34.64011967
220,-58.89346684,-34.62294759
232,-58.7930126,-34.72448254
218,-58.82828387,-34.63983708
219,-58.85540521,-34.63239392
231,-58.77937118,-34.70603092
222,-58.99982395,-34.59790224
202,-58.40693214,-34.60850244
204,-58.46622658,-34.62786716
201,-58.40684808,-34.60849864
206,-58.50180924,-34.63629913
203,-58.44535505,-34.61989408
207,-58.52688896,-34.6390246
205,-58.48056747,-34.63230963
317,-58.64566904,-34.57328484
318,-58.65980595,-34.56249353
315,-58.63130711,-34.58754455
311,-58.5722968,-34.59005945
321,-58.686129,-34.5434544
319,-58.67139053,-34.55395846
310,-58.55983479,-34.59176409
312,-58.59087314,-34.58906934
322,-58.69517918,-34.53703564
323,-58.70080521,-34.53294072
314,-58.62246701,-34.58782765
308,-58.53580223,-34.59544346
309,-58.54741121,-34.5937236
313,-58.60721148,-34.58849974
316,-58.63991547,-34.58158785
320,-58.67914218,-34.5484949
307,-58.52488895,-34.59720065
301,-58.45573086,-34.58535985
302,-58.46665691,-34.59049415
305,-58.5030747,-34.59446673
306,-58.51087007,-34.59563673
304,-58.49479734,-34.59324644
303,-58.47507572,-34.59237495
